bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF925XUX	80	ENCFF534YMV	145	CTCF-human	LNCaPcloneFGC	ENCSR000DMF
ENCFF187ZET	110	ENCFF121DUE	75	NFE2-human	K562	ENCSR000FCC
ENCFF198RTF	100	ENCFF121DUE	75	NFE2-human	K562	ENCSR000FCC
ENCFF404YMM	125	ENCFF229FMX	70	THAP11-human	HepG2geneticallymodifiedusingCRISPR	ENCSR562POI
ENCFF523VQN	140	ENCFF229FMX	70	THAP11-human	HepG2geneticallymodifiedusingCRISPR	ENCSR562POI
ENCFF347VYQ	130	ENCFF582CVJ	95	PBX2-human	HepG2geneticallymodifiedusingCRISPR	ENCSR849DFF
ENCFF430JGU	135	ENCFF582CVJ	95	PBX2-human	HepG2geneticallymodifiedusingCRISPR	ENCSR849DFF
ENCFF872NJT	160	ENCFF370PSF	100	RXRA-human	liverfemalechild4years	ENCSR352QSB
ENCFF158EVG	150	ENCFF370PSF	100	RXRA-human	liverfemalechild4years	ENCSR352QSB
ENCFF450GSC	90	ENCFF902AOQ	90	FOXP2-human	SKNMC	ENCSR000BGB
ENCFF034ZGA	90	ENCFF902AOQ	90	FOXP2-human	SKNMC	ENCSR000BGB
ENCFF789LIM	190	ENCFF615RXB	230	CTCF-human	neuralprogenitorcelloriginatedfromH9	ENCSR125NBL
ENCFF258ZRS	175	ENCFF615RXB	230	CTCF-human	neuralprogenitorcelloriginatedfromH9	ENCSR125NBL
ENCFF251EVS	175	ENCFF383YOE	155	ELF1-human	K562geneticallymodifiedusingstabletransfection	ENCSR975SSR
ENCFF619SRD	195	ENCFF383YOE	155	ELF1-human	K562geneticallymodifiedusingstabletransfection	ENCSR975SSR
ENCFF704RYY	135	ENCFF503VFG	110	EP300-human	T47Dtreatedwith002dimethylsulfoxidefor1hour	ENCSR000BLM
ENCFF266XHV	110	ENCFF503VFG	110	EP300-human	T47Dtreatedwith002dimethylsulfoxidefor1hour	ENCSR000BLM
ENCFF318GHN	125	ENCFF503VFG	110	FOXA1-human	T47Dtreatedwith002dimethylsulfoxidefor1hour	ENCSR000BKY
ENCFF012QZM	100	ENCFF503VFG	110	FOXA1-human	T47Dtreatedwith002dimethylsulfoxidefor1hour	ENCSR000BKY
ENCFF482VWN	100	ENCFF215ULH	110	CTCF-human	D721Med	ENCSR000DMY
ENCFF291LYW	75	ENCFF215ULH	110	CTCF-human	D721Med	ENCSR000DMY
ENCFF438DHS	120	ENCFF772PJM	120	ATF3-human	K562	ENCSR000BNU
ENCFF308RGN	95	ENCFF772PJM	120	ATF3-human	K562	ENCSR000BNU
ENCFF074GYD	125	ENCFF165KZY	115	JUN-human	HepG2	ENCSR000EEK
ENCFF122BQB	135	ENCFF165KZY	115	JUN-human	HepG2	ENCSR000EEK
ENCFF354ELR	140	ENCFF234FUH	260	RNF2-human	H1	ENCSR784VUY
ENCFF180DGV	280	ENCFF234FUH	260	RNF2-human	H1	ENCSR784VUY
ENCFF998ZIK	115	ENCFF948LKH	135	EP300-human	H1	ENCSR000BKK
ENCFF299IMS	120	ENCFF948LKH	135	EP300-human	H1	ENCSR000BKK
ENCFF138ZXJ	80	ENCFF982GQU	70	NANOG-human	GM23338originatedfromGM23248	ENCSR061DGF
ENCFF452BSY	90	ENCFF982GQU	70	NANOG-human	GM23338originatedfromGM23248	ENCSR061DGF
ENCFF765PTU	235	ENCFF865NTT	135	CTCF-human	CD14positivemonocytefemale	ENCSR000ATN
ENCFF746KIU	170	ENCFF865NTT	135	CTCF-human	CD14positivemonocytefemale	ENCSR000ATN
ENCFF920YQZ	200	ENCFF089EGV	245	CTCF-human	esophagusmuscularismucosamaleadult54years	ENCSR073TPC
ENCFF230UKQ	135	ENCFF229FMX	70	MXD3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR909GJR
ENCFF919VWI	120	ENCFF229FMX	70	MXD3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR909GJR
ENCFF280SUM	170	ENCFF710SMS	110	NFYA-human	GM12878	ENCSR000DNN
ENCFF595NGV	160	ENCFF710SMS	110	NFYA-human	GM12878	ENCSR000DNN
ENCFF439NNR	125	ENCFF767FSP	90	MYC-human	K562treatedwithinterferonalphafor30minutes	ENCSR000FAZ
ENCFF483RLD	105	ENCFF767FSP	90	MYC-human	K562treatedwithinterferonalphafor30minutes	ENCSR000FAZ
ENCFF864PHP	120	ENCFF513EWK	90	JUN-human	H1	ENCSR000ECA
ENCFF050VGU	110	ENCFF513EWK	90	JUN-human	H1	ENCSR000ECA
ENCFF397HYT	110	ENCFF823WOO	120	RCOR1-human	IMR90	ENCSR000EFG
ENCFF939NEW	125	ENCFF823WOO	120	RCOR1-human	IMR90	ENCSR000EFG
ENCFF641VCR	90	ENCFF290EGQ	85	ZBED1-human	GM12878	ENCSR207PFI
ENCFF893PGF	115	ENCFF290EGQ	85	ZBED1-human	GM12878	ENCSR207PFI
ENCFF406RXQ	110	ENCFF579QDW	130	MAZ-human	GM12878	ENCSR000DZA
ENCFF352KKZ	115	ENCFF579QDW	130	MAZ-human	GM12878	ENCSR000DZA
ENCFF376QOH	135	ENCFF610PNU	100	MAX-human	livermaleadult32years	ENCSR521IID
ENCFF499VEN	175	ENCFF610PNU	100	MAX-human	livermaleadult32years	ENCSR521IID
ENCFF936SHM	125	ENCFF703HXP	120	ESR1-human	Ishikawatreatedwith100nMbisphenolAfor1hour	ENCSR000BQR
ENCFF481EDX	100	ENCFF703HXP	120	ESR1-human	Ishikawatreatedwith100nMbisphenolAfor1hour	ENCSR000BQR
ENCFF238GNM	190	ENCFF871BGG	210	CTCF-human	Loucy	ENCSR464DKE
ENCFF190HQN	160	ENCFF871BGG	210	CTCF-human	Loucy	ENCSR464DKE
ENCFF891QAW	100	ENCFF229FMX	70	KDM6A-human	HepG2geneticallymodifiedusingCRISPR	ENCSR031ING
ENCFF787VIZ	110	ENCFF229FMX	70	KDM6A-human	HepG2geneticallymodifiedusingCRISPR	ENCSR031ING
ENCFF238MUN	75	ENCFF582CVJ	95	HBP1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR616WEG
ENCFF684QYE	75	ENCFF582CVJ	95	HBP1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR616WEG
ENCFF804DKC	185	ENCFF714AMB	195	RNF2-human	A549	ENCSR798EGJ
ENCFF580OKG	190	ENCFF714AMB	195	RNF2-human	A549	ENCSR798EGJ
ENCFF330XIE	120	ENCFF229FMX	70	RCOR2-human	HepG2geneticallymodifiedusingCRISPR	ENCSR455DOO
ENCFF191DNO	105	ENCFF229FMX	70	RCOR2-human	HepG2geneticallymodifiedusingCRISPR	ENCSR455DOO
ENCFF540ZTB	340	ENCFF609HLC	165	ADNP-human	K562geneticallymodifiedusingstabletransfection	ENCSR440VKE
ENCFF666EIZ	310	ENCFF609HLC	165	ADNP-human	K562geneticallymodifiedusingstabletransfection	ENCSR440VKE
ENCFF935OOR	90	ENCFF579QDW	130	IRF3-human	GM12878	ENCSR000DZX
ENCFF519GVE	150	ENCFF579QDW	130	IRF3-human	GM12878	ENCSR000DZX
ENCFF812FMM	120	ENCFF494UKO	115	MAZ-human	IMR90	ENCSR000EFF
ENCFF035PHI	90	ENCFF494UKO	115	MAZ-human	IMR90	ENCSR000EFF
ENCFF973FUN	110	ENCFF144BVJ	120	CTCF-human	SKNSH	ENCSR000EIC
ENCFF430DOC	130	ENCFF144BVJ	120	CTCF-human	SKNSH	ENCSR000EIC
ENCFF162QXM	95	ENCFF157YWH	80	CTCF-human	GM12878	ENCSR000DZN
ENCFF033WII	110	ENCFF157YWH	80	CTCF-human	GM12878	ENCSR000DZN
ENCFF440RZX	105	ENCFF353UFN	100	NR3C1-human	A549treatedwith002ethanolfor1hour	ENCSR000BIO
ENCFF058PCJ	100	ENCFF353UFN	100	NR3C1-human	A549treatedwith002ethanolfor1hour	ENCSR000BIO
ENCFF100HXA	110	ENCFF513EWK	90	NRF1-human	H1	ENCSR000ECC
ENCFF060DJH	110	ENCFF513EWK	90	NRF1-human	H1	ENCSR000ECC
ENCFF731EZN	190	ENCFF229FMX	70	GABPB1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR462KYU
ENCFF700ZPS	110	ENCFF229FMX	70	GABPB1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR462KYU
ENCFF850TET	135	ENCFF943DZB	85	SP1-human	HepG2	ENCSR000BJX
ENCFF449IUJ	130	ENCFF943DZB	85	SP1-human	HepG2	ENCSR000BJX
ENCFF350GBI	130	ENCFF536CTV	130	ETS1-human	HepG2	ENCSR681WHQ
ENCFF553ZKD	110	ENCFF536CTV	130	ETS1-human	HepG2	ENCSR681WHQ
ENCFF165NIG	120	ENCFF562XPJ	115	YY1-human	GM12891	ENCSR000BKJ
ENCFF403JXW	115	ENCFF562XPJ	115	YY1-human	GM12891	ENCSR000BKJ
ENCFF367WEI	115	ENCFF857MFM	130	MYC-human	A549	ENCSR000DYC
ENCFF866MOR	115	ENCFF857MFM	130	MYC-human	A549	ENCSR000DYC
ENCFF517LYO	115	ENCFF513EWK	90	BACH1-human	H1	ENCSR000EBQ
ENCFF223DHM	120	ENCFF513EWK	90	BACH1-human	H1	ENCSR000EBQ
ENCFF360DAO	145	ENCFF610PNU	100	ATF3-human	livermaleadult32years	ENCSR480LIS
ENCFF150DAE	145	ENCFF610PNU	100	ATF3-human	livermaleadult32years	ENCSR480LIS
ENCFF540VVE	185	ENCFF156EWJ	85	ZNF175-human	K562geneticallymodifiedusingCRISPR	ENCSR011PEI
ENCFF503IYW	180	ENCFF156EWJ	85	ZNF175-human	K562geneticallymodifiedusingCRISPR	ENCSR011PEI
ENCFF459VZA	150	ENCFF370PSF	100	JUND-human	liverfemalechild4years	ENCSR196HGZ
ENCFF896BMA	165	ENCFF370PSF	100	JUND-human	liverfemalechild4years	ENCSR196HGZ
ENCFF708KXW	125	ENCFF880XKJ	85	CTCF-human	cardiacfibroblastfemaleadult	ENCSR000DTF
ENCFF035GBL	95	ENCFF121DUE	75	ZBED1-human	K562	ENCSR286PCG
ENCFF261BXO	85	ENCFF121DUE	75	ZBED1-human	K562	ENCSR286PCG
ENCFF697VPH	110	ENCFF671TWU	225	JUND-human	SKNSH	ENCSR000BSK
ENCFF507TFC	120	ENCFF671TWU	225	JUND-human	SKNSH	ENCSR000BSK
ENCFF401YVR	145	ENCFF285LVE	110	FOXA1-human	HepG2	ENCSR000BMO
ENCFF332SRJ	140	ENCFF285LVE	110	FOXA1-human	HepG2	ENCSR000BMO
ENCFF246IMM	120	ENCFF285LVE	110	EP300-human	HepG2	ENCSR000BLW
ENCFF522HWT	125	ENCFF285LVE	110	EP300-human	HepG2	ENCSR000BLW
ENCFF654QOH	225	ENCFF665FWN	460	CTCF-human	transversecolonfemaleadult53years	ENCSR236YGF
ENCFF227RMY	225	ENCFF665FWN	460	CTCF-human	transversecolonfemaleadult53years	ENCSR236YGF
ENCFF340QCB	110	ENCFF562HPN	105	EBF1-human	GM12878	ENCSR000BGU
ENCFF426RGL	110	ENCFF562HPN	105	EBF1-human	GM12878	ENCSR000BGU
ENCFF755LCI	175	ENCFF108PMF	225	GATA2-human	endothelialcellofumbilicalveinnewborn	ENCSR000EVW
ENCFF272PYA	220	ENCFF108PMF	225	GATA2-human	endothelialcellofumbilicalveinnewborn	ENCSR000EVW
ENCFF865ULF	175	ENCFF108PMF	225	GATA2-human	endothelialcellofumbilicalveinnewborn	ENCSR000EVW
ENCFF958UOJ	220	ENCFF108PMF	225	GATA2-human	endothelialcellofumbilicalveinnewborn	ENCSR000EVW
ENCFF372TQJ	110	ENCFF229FMX	70	RBPJ-human	HepG2geneticallymodifiedusingCRISPR	ENCSR596FEL
ENCFF645ARX	130	ENCFF229FMX	70	RBPJ-human	HepG2geneticallymodifiedusingCRISPR	ENCSR596FEL
ENCFF627UME	110	ENCFF827ILE	110	YY1-human	GM12892	ENCSR000BLT
ENCFF981GSU	115	ENCFF827ILE	110	YY1-human	GM12892	ENCSR000BLT
ENCFF797FEY	115	ENCFF234NVU	110	MAX-human	K562	ENCSR000BLP
ENCFF178VEA	100	ENCFF234NVU	110	MAX-human	K562	ENCSR000BLP
ENCFF347EJI	85	ENCFF536CFH	95	REST-human	SKNSH	ENCSR000BJJ
ENCFF523AMT	90	ENCFF536CFH	95	REST-human	SKNSH	ENCSR000BJJ
ENCFF014MZL	135	ENCFF212COR	80	CTCF-human	HCT116	ENCSR000BSE
ENCFF309AXU	130	ENCFF212COR	80	CTCF-human	HCT116	ENCSR000BSE
ENCFF167ZAW	100	ENCFF943DZB	85	TCF12-human	HepG2	ENCSR000BJG
ENCFF948DOF	125	ENCFF943DZB	85	TCF12-human	HepG2	ENCSR000BJG
ENCFF171MMW	120	ENCFF506QEL	75	GATA4-human	HepG2	ENCSR590CNM
ENCFF580GYQ	75	ENCFF506QEL	75	GATA4-human	HepG2	ENCSR590CNM
ENCFF005WQC	170	ENCFF791OAY	135	ZNF395-human	K562geneticallymodifiedusingCRISPR	ENCSR462QZZ
ENCFF537JSG	215	ENCFF791OAY	135	ZNF395-human	K562geneticallymodifiedusingCRISPR	ENCSR462QZZ
ENCFF580GMF	95	ENCFF562HPN	105	BCL11A-human	GM12878	ENCSR000BHA
ENCFF942EVB	110	ENCFF562HPN	105	BCL11A-human	GM12878	ENCSR000BHA
ENCFF755GBM	95	ENCFF165KZY	115	MAFK-human	HepG2	ENCSR000EDZ
ENCFF310RSH	120	ENCFF165KZY	115	MAFK-human	HepG2	ENCSR000EDZ
ENCFF964ESQ	105	ENCFF193YIO	135	BHLHE40-human	HepG2	ENCSR000BID
ENCFF404QMD	120	ENCFF193YIO	135	BHLHE40-human	HepG2	ENCSR000BID
ENCFF423JON	120	ENCFF449CRS	390	USF2-human	SKNSH	ENCSR945NFL
ENCFF496YWT	115	ENCFF449CRS	390	USF2-human	SKNSH	ENCSR945NFL
ENCFF731XGM	165	ENCFF626VZO	75	CREM-human	HepG2	ENCSR903ELW
ENCFF828CLY	180	ENCFF626VZO	75	CREM-human	HepG2	ENCSR903ELW
ENCFF751UYZ	110	ENCFF229FMX	70	CEBPG-human	HepG2geneticallymodifiedusingCRISPR	ENCSR639IIZ
ENCFF406OSZ	115	ENCFF229FMX	70	CEBPG-human	HepG2geneticallymodifiedusingCRISPR	ENCSR639IIZ
ENCFF112DFJ	110	ENCFF023NGN	115	RCOR1-human	K562	ENCSR000EGC
ENCFF623TAD	95	ENCFF023NGN	115	RCOR1-human	K562	ENCSR000EGC
ENCFF821WPZ	105	ENCFF823WOO	120	RFX5-human	IMR90	ENCSR000EFD
ENCFF820NUO	130	ENCFF823WOO	120	RFX5-human	IMR90	ENCSR000EFD
ENCFF667MDQ	195	ENCFF335PIY	115	CTCF-human	Peyerspatchfemaleadult51years	ENCSR542SCB
ENCFF418TMJ	210	ENCFF808COP	210	CTCF-human	stomachmaleadult54years	ENCSR037GKL
ENCFF503TSN	155	ENCFF337WHA	80	SP1-human	livermaleadult32years	ENCSR085IXF
ENCFF523FGX	185	ENCFF337WHA	80	SP1-human	livermaleadult32years	ENCSR085IXF
ENCFF623HMX	105	ENCFF946WAV	120	CTCF-human	MCF7treatedwith100nM17betaestradiolfor45minutes	ENCSR000DMS
ENCFF508RFI	110	ENCFF946WAV	120	CTCF-human	MCF7treatedwith100nM17betaestradiolfor45minutes	ENCSR000DMS
ENCFF662BBY	115	ENCFF023NGN	115	CUX1-human	K562	ENCSR000EFO
ENCFF482CMU	110	ENCFF023NGN	115	CUX1-human	K562	ENCSR000EFO
ENCFF147KAY	180	ENCFF962PBI	235	GATA1-human	erythroblastembryo1619weeks	ENCSR000EXR
ENCFF261SIF	220	ENCFF962PBI	235	GATA1-human	erythroblastembryo1619weeks	ENCSR000EXR
ENCFF045LKN	135	ENCFF229FMX	70	HMG20A-human	HepG2geneticallymodifiedusingCRISPR	ENCSR072GJV
ENCFF742QEL	90	ENCFF229FMX	70	HMG20A-human	HepG2geneticallymodifiedusingCRISPR	ENCSR072GJV
ENCFF360TJN	175	ENCFF120GPO	205	CTCF-human	cardiacmusclecelloriginatedfromRUES2	ENCSR713SXF
ENCFF464SZY	130	ENCFF115YWW	65	CTCF-human	kidneyepithelialcell	ENCSR000DVH
ENCFF874XSI	135	ENCFF115YWW	65	CTCF-human	kidneyepithelialcell	ENCSR000DVH
ENCFF341YTC	105	ENCFF710SMS	110	USF2-human	GM12878	ENCSR000DZU
ENCFF713SUL	125	ENCFF710SMS	110	USF2-human	GM12878	ENCSR000DZU
ENCFF761PTZ	160	ENCFF610PNU	100	RXRA-human	livermaleadult32years	ENCSR098XMN
ENCFF334WLO	165	ENCFF610PNU	100	RXRA-human	livermaleadult32years	ENCSR098XMN
ENCFF980QHF	175	ENCFF157YWH	80	YY1-human	GM12878	ENCSR000EUM
ENCFF327QNZ	110	ENCFF741CYK	95	CTCF-human	fibroblastoflung	ENCSR000DVA
ENCFF696UMD	110	ENCFF741CYK	95	CTCF-human	fibroblastoflung	ENCSR000DVA
ENCFF603XOJ	150	ENCFF772PJM	120	GABPA-human	K562	ENCSR000BLO
ENCFF902IUF	115	ENCFF772PJM	120	GABPA-human	K562	ENCSR000BLO
ENCFF380VYQ	135	ENCFF165KZY	115	RFX5-human	HepG2	ENCSR000EEA
ENCFF569JCK	115	ENCFF165KZY	115	RFX5-human	HepG2	ENCSR000EEA
ENCFF641NQL	100	ENCFF536CTV	130	ZKSCAN1-human	HepG2	ENCSR157CAU
ENCFF883UVV	120	ENCFF536CTV	130	ZKSCAN1-human	HepG2	ENCSR157CAU
ENCFF568RDF	140	ENCFF304AZH	95	NR2F2-human	K562	ENCSR000BRS
ENCFF665EXC	105	ENCFF304AZH	95	NR2F2-human	K562	ENCSR000BRS
ENCFF968GUI	140	ENCFF353UFN	100	USF1-human	A549treatedwith002ethanolfor1hour	ENCSR000BJB
ENCFF125HKY	115	ENCFF353UFN	100	USF1-human	A549treatedwith002ethanolfor1hour	ENCSR000BJB
ENCFF377HEH	210	ENCFF877WCX	245	CTCF-human	vaginafemaleadult51years	ENCSR614HHL
ENCFF332KBI	200	ENCFF626VZO	75	NRF1-human	HepG2	ENCSR853ADA
ENCFF688NWX	175	ENCFF626VZO	75	NRF1-human	HepG2	ENCSR853ADA
ENCFF221NHN	100	ENCFF229FMX	70	ZFP64-human	HepG2geneticallymodifiedusingCRISPR	ENCSR487CPI
ENCFF438WBW	105	ENCFF229FMX	70	ZFP64-human	HepG2geneticallymodifiedusingCRISPR	ENCSR487CPI
ENCFF836IMK	110	ENCFF942FFX	85	MYC-human	K562treatedwithInterferongammafor30minutes	ENCSR000EGS
ENCFF239WGU	100	ENCFF942FFX	85	MYC-human	K562treatedwithInterferongammafor30minutes	ENCSR000EGS
ENCFF056OXH	75	ENCFF582CVJ	95	MBD1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR396QWK
ENCFF615LVR	80	ENCFF582CVJ	95	MBD1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR396QWK
ENCFF210CTW	125	ENCFF317CKP	115	REST-human	Panc1	ENCSR000BPK
ENCFF469ACE	75	ENCFF317CKP	115	REST-human	Panc1	ENCSR000BPK
ENCFF966GGG	100	ENCFF023NGN	115	MAZ-human	K562	ENCSR000EFX
ENCFF103RBU	95	ENCFF023NGN	115	MAZ-human	K562	ENCSR000EFX
ENCFF250ZEU	110	ENCFF229FMX	70	ZNF48-human	HepG2geneticallymodifiedusingCRISPR	ENCSR415AEB
ENCFF789XWO	150	ENCFF229FMX	70	ZNF48-human	HepG2geneticallymodifiedusingCRISPR	ENCSR415AEB
ENCFF229CPP	175	ENCFF163QIC	90	ELF1-human	MCF7geneticallymodifiedusingstabletransfection	ENCSR475SOC
ENCFF857SEI	180	ENCFF163QIC	90	ELF1-human	MCF7geneticallymodifiedusingstabletransfection	ENCSR475SOC
ENCFF139IMF	130	ENCFF272DEZ	150	HSF1-human	GM12878	ENCSR009MBP
ENCFF778CYP	140	ENCFF272DEZ	150	HSF1-human	GM12878	ENCSR009MBP
ENCFF423DKK	235	ENCFF904ZLD	1375	CTCF-human	spleenmaleadult54years	ENCSR225YGX
ENCFF166AVE	220	ENCFF904ZLD	1375	CTCF-human	spleenmaleadult54years	ENCSR225YGX
ENCFF761FZT	110	ENCFF851MPE	60	CTCF-human	Caco2	ENCSR000DQN
ENCFF628ZLC	100	ENCFF851MPE	60	CTCF-human	Caco2	ENCSR000DQN
ENCFF719VXT	135	ENCFF985NSN	70	REST-human	liverfemalechild4years	ENCSR893QWP
ENCFF281SWL	175	ENCFF985NSN	70	REST-human	liverfemalechild4years	ENCSR893QWP
ENCFF172IMH	130	ENCFF285LVE	110	FOXA1-human	HepG2	ENCSR000BLE
ENCFF563UBP	140	ENCFF285LVE	110	FOXA1-human	HepG2	ENCSR000BLE
ENCFF439LPX	100	ENCFF946WAV	120	MYC-human	MCF7originatedfromMCF7	ENCSR000DMJ
ENCFF414VTM	105	ENCFF946WAV	120	MYC-human	MCF7originatedfromMCF7	ENCSR000DMJ
ENCFF729WGC	115	ENCFF023NGN	115	CEBPB-human	K562	ENCSR000EHE
ENCFF953ZZL	130	ENCFF023NGN	115	CEBPB-human	K562	ENCSR000EHE
ENCFF758YDA	140	ENCFF918AJW	110	RCOR1-human	A549	ENCSR618ICR
ENCFF193KZT	90	ENCFF918AJW	110	RCOR1-human	A549	ENCSR618ICR
ENCFF401BQM	120	ENCFF772PJM	120	MEF2A-human	K562	ENCSR000BNV
ENCFF850FRG	110	ENCFF772PJM	120	MEF2A-human	K562	ENCSR000BNV
ENCFF100VNU	100	ENCFF289ONG	90	EGR1-human	GM12878	ENCSR000BRG
ENCFF265HCR	100	ENCFF772PJM	120	SRF-human	K562	ENCSR000BLK
ENCFF571WED	115	ENCFF772PJM	120	SRF-human	K562	ENCSR000BLK
ENCFF516UTV	120	ENCFF304AZH	95	TEAD4-human	K562	ENCSR000BRK
ENCFF790FNF	130	ENCFF304AZH	95	TEAD4-human	K562	ENCSR000BRK
ENCFF293LDW	80	ENCFF105WJU	60	NR3C1-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000BJR
ENCFF602PRS	130	ENCFF105WJU	60	NR3C1-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000BJR
ENCFF528OSH	110	ENCFF579QDW	130	MAFK-human	GM12878	ENCSR000DYV
ENCFF902JQQ	105	ENCFF579QDW	130	MAFK-human	GM12878	ENCSR000DYV
ENCFF116MDP	110	ENCFF579QDW	130	MAFK-human	GM12878	ENCSR000DYV
ENCFF363SJZ	100	ENCFF579QDW	130	MAFK-human	GM12878	ENCSR000DYV
ENCFF180ZQP	165	ENCFF568OMP	90	ZNF83-human	K562geneticallymodifiedusingstabletransfection	ENCSR257XVY
ENCFF690YWW	155	ENCFF568OMP	90	ZNF83-human	K562geneticallymodifiedusingstabletransfection	ENCSR257XVY
ENCFF828HPM	115	ENCFF772PJM	120	GATA2-human	K562	ENCSR000BKM
ENCFF257ZRY	115	ENCFF772PJM	120	GATA2-human	K562	ENCSR000BKM
ENCFF869KFS	120	ENCFF229FMX	70	TEAD1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR497JLX
ENCFF211PNG	120	ENCFF229FMX	70	TEAD1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR497JLX
ENCFF110FDC	120	ENCFF577FNG	130	BMI1-human	K562	ENCSR782WRO
ENCFF918CSI	115	ENCFF577FNG	130	BMI1-human	K562	ENCSR782WRO
ENCFF888AOR	110	ENCFF332SVJ	80	CBX1-human	K562	ENCSR948QLZ
ENCFF382DBE	85	ENCFF332SVJ	80	CBX1-human	K562	ENCSR948QLZ
ENCFF625AJO	225	ENCFF623HUN	80	ZBTB11-human	K562geneticallymodifiedusingCRISPR	ENCSR706BJO
ENCFF212PQL	260	ENCFF623HUN	80	ZBTB11-human	K562geneticallymodifiedusingCRISPR	ENCSR706BJO
ENCFF010ZWD	125	ENCFF229FMX	70	HMGXB4-human	HepG2geneticallymodifiedusingCRISPR	ENCSR174GOO
ENCFF415RQE	280	ENCFF229FMX	70	HMGXB4-human	HepG2geneticallymodifiedusingCRISPR	ENCSR174GOO
ENCFF807TIN	95	ENCFF165KZY	115	RCOR1-human	HepG2	ENCSR000EDQ
ENCFF535OVY	85	ENCFF165KZY	115	RCOR1-human	HepG2	ENCSR000EDQ
ENCFF683FRP	80	ENCFF714ZPY	125	ZHX1-human	HeLaS3	ENCSR887MXT
ENCFF509RDA	110	ENCFF714ZPY	125	ZHX1-human	HeLaS3	ENCSR887MXT
ENCFF618UUW	90	ENCFF341IVK	70	REST-human	GM23338originatedfromGM23248	ENCSR871KYB
ENCFF926HJH	210	ENCFF170UTG	190	CTCF-human	A673	ENCSR611JJS
ENCFF358SGU	170	ENCFF170UTG	190	CTCF-human	A673	ENCSR611JJS
ENCFF628ZEN	195	ENCFF474SYV	150	CTCF-human	OCILY1	ENCSR072EUE
ENCFF319DWE	210	ENCFF474SYV	150	CTCF-human	OCILY1	ENCSR072EUE
ENCFF880ODJ	125	ENCFF156FED	110	RNF2-human	K562	ENCSR138FUZ
ENCFF726AYE	110	ENCFF156FED	110	RNF2-human	K562	ENCSR138FUZ
ENCFF057CNY	160	ENCFF299GMC	100	ZNF584-human	K562geneticallymodifiedusingCRISPR	ENCSR149ZBI
ENCFF216TEN	205	ENCFF299GMC	100	ZNF584-human	K562geneticallymodifiedusingCRISPR	ENCSR149ZBI
ENCFF357MHM	135	ENCFF332CUX	90	MYC-human	K562treatedwithinterferonalphafor6hours	ENCSR000EZV
ENCFF491EUN	100	ENCFF332CUX	90	MYC-human	K562treatedwithinterferonalphafor6hours	ENCSR000EZV
ENCFF575DNN	120	ENCFF948LKH	135	SRF-human	H1	ENCSR000BIV
ENCFF890OOH	135	ENCFF948LKH	135	SRF-human	H1	ENCSR000BIV
ENCFF696GNV	110	ENCFF948LKH	135	REST-human	H1	ENCSR000BHM
ENCFF312WAT	115	ENCFF948LKH	135	REST-human	H1	ENCSR000BHM
ENCFF363BPK	90	ENCFF332BFE	100	NFYA-human	K562	ENCSR000EGR
ENCFF818QIJ	105	ENCFF332BFE	100	NFYA-human	K562	ENCSR000EGR
ENCFF015CKI	115	ENCFF285LVE	110	ZBTB33-human	HepG2	ENCSR000BNA
ENCFF148ZDV	105	ENCFF285LVE	110	ZBTB33-human	HepG2	ENCSR000BNA
ENCFF429GKZ	80	ENCFF202PGY	95	GABPA-human	HeLaS3	ENCSR000BHS
ENCFF139VJW	115	ENCFF202PGY	95	GABPA-human	HeLaS3	ENCSR000BHS
ENCFF056WAK	155	ENCFF505NPR	90	MYBL2-human	HepG2	ENCSR000BRO
ENCFF200PFF	115	ENCFF505NPR	90	MYBL2-human	HepG2	ENCSR000BRO
ENCFF923FWK	135	ENCFF436WVQ	140	TBP-human	HeLaS3	ENCSR000EDD
ENCFF548TKC	150	ENCFF436WVQ	140	TBP-human	HeLaS3	ENCSR000EDD
ENCFF413VAR	200	ENCFF228COG	70	ZKSCAN8-human	K562geneticallymodifiedusingCRISPR	ENCSR448UKK
ENCFF811CBJ	185	ENCFF228COG	70	ZKSCAN8-human	K562geneticallymodifiedusingCRISPR	ENCSR448UKK
ENCFF403WNR	95	ENCFF767FSP	90	STAT1-human	K562treatedwithinterferonalphafor30minutes	ENCSR000FAV
ENCFF463LMJ	100	ENCFF767FSP	90	STAT1-human	K562treatedwithinterferonalphafor30minutes	ENCSR000FAV
ENCFF015LMA	120	ENCFF948LKH	135	JUND-human	H1	ENCSR000BKP
ENCFF889YQP	90	ENCFF948LKH	135	JUND-human	H1	ENCSR000BKP
